IDFuncionario,DataContratacao,Gênero,Etinia,AgeGroup,Cargo,Departamento,SiteID
EMP-00046,2024-12-17,Masculino,Amarela,26-35,Gestor,Sustentabilidade,S-002
EMP-00047,2024-08-24,Feminino,Branca,26-35,Gestor,Engenharia,S-004
EMP-00048,2023-05-20,Feminino,Indígena,26-35,Gestor,Sustentabilidade,S-001
EMP-00049,2024-10-15,Masculino,Amarela,26-35,Especialista,RH,S-004
EMP-00050,2023-07-01,Masculino,Amarela,46-60,Gestor,Operações,S-004
EMP-00051,2023-01-04,Masculino,Parda,18-25,Gestor,RH,S-002
EMP-00052,2023-09-11,Masculino,Amarela,36-45,Analista,Sustentabilidade,S-001
EMP-00053,2023-07-27,Masculino,Parda,36-45,Gestor,Engenharia,S-004
EMP-00054,2023-04-26,Masculino,Preta,26-35,Gestor,Engenharia,S-004
EMP-00055,2023-07-03,Feminino,Amarela,26-35,Analista,Engenharia,S-003
EMP-00056,2023-10-13,Masculino,Indígena,46-60,Gestor,Sustentabilidade,S-001
EMP-00057,2024-03-23,Feminino,Preta,36-45,Gestor,Sustentabilidade,S-004
EMP-00058,2024-06-29,Feminino,Branca,18-25,Especialista,RH,S-005
EMP-00059,2023-08-30,Masculino,Indígena,18-25,Especialista,Sustentabilidade,S-002
EMP-00060,2024-07-13,Feminino,Branca,36-45,Analista,Engenharia,S-005
EMP-00061,2024-02-06,Feminino,Amarela,18-25,Gestor,Financeiro,S-001
EMP-00062,2024-07-01,Feminino,Preta,36-45,Gestor,Operações,S-001
EMP-00063,2024-04-02,Feminino,Branca,18-25,Especialista,RH,S-001
EMP-00064,2023-09-21,Masculino,Amarela,36-45,Analista,Sustentabilidade,S-002
EMP-00065,2023-12-20,Feminino,Parda,26-35,Especialista,RH,S-003
EMP-00066,2024-07-04,Masculino,Indígena,26-35,Analista,RH,S-004
EMP-00067,2024-09-03,Feminino,Indígena,26-35,Analista,Engenharia,S-001
EMP-00068,2024-12-13,Feminino,Preta,18-25,Gestor,Operações,S-002
EMP-00069,2024-08-02,Feminino,Indígena,36-45,Gestor,RH,S-005
EMP-00070,2023-09-18,Feminino,Amarela,26-35,Gestor,RH,S-001
EMP-00071,2023-11-15,Masculino,Parda,18-25,Analista,Engenharia,S-001
EMP-00072,2023-06-28,Feminino,Branca,46-60,Analista,Financeiro,S-002
EMP-00073,2024-02-19,Feminino,Branca,46-60,Gestor,RH,S-004
EMP-00074,2024-11-15,Masculino,Amarela,36-45,Especialista,Engenharia,S-005
EMP-00075,2024-07-04,Feminino,Parda,26-35,Especialista,Financeiro,S-001
EMP-00076,2024-03-14,Feminino,Amarela,36-45,Analista,Financeiro,S-004
EMP-00077,2023-06-17,Feminino,Indígena,18-25,Gestor,Operações,S-003
EMP-00078,2024-01-24,Feminino,Preta,46-60,Gestor,Sustentabilidade,S-005
EMP-00079,2024-01-28,Feminino,Amarela,26-35,Analista,RH,S-001
EMP-00080,2024-06-20,Feminino,Parda,36-45,Gestor,Operações,S-005
EMP-00081,2024-09-28,Masculino,Branca,18-25,Gestor,Operações,S-002
EMP-00082,2024-06-12,Feminino,Branca,36-45,Especialista,Engenharia,S-001
EMP-00083,2024-11-19,Masculino,Parda,26-35,Especialista,Financeiro,S-005
EMP-00084,2023-01-17,Feminino,Amarela,46-60,Especialista,Engenharia,S-005
EMP-00085,2024-04-17,Feminino,Amarela,26-35,Analista,Sustentabilidade,S-004
EMP-00086,2023-04-23,Feminino,Preta,26-35,Analista,RH,S-003
EMP-00087,2024-11-28,Feminino,Preta,36-45,Gestor,RH,S-004
EMP-00088,2023-02-01,Masculino,Preta,36-45,Analista,Sustentabilidade,S-005
EMP-00089,2023-09-09,Feminino,Indígena,18-25,Especialista,Sustentabilidade,S-005
EMP-00090,2023-06-02,Feminino,Branca,46-60,Gestor,Operações,S-005
EMP-00091,2023-12-14,Masculino,Amarela,26-35,Gestor,Operações,S-002
EMP-00092,2023-02-24,Masculino,Parda,26-35,Analista,Engenharia,S-003
EMP-00093,2023-04-23,Masculino,Parda,36-45,Gestor,RH,S-001
EMP-00094,2023-05-08,Feminino,Branca,26-35,Analista,RH,S-004
EMP-00095,2023-08-27,Feminino,Parda,18-25,Especialista,Financeiro,S-002
EMP-00096,2023-05-21,Feminino,Branca,18-25,Gestor,Engenharia,S-003
EMP-00097,2023-07-17,Masculino,Parda,36-45,Gestor,Financeiro,S-003
EMP-00098,2024-12-08,Feminino,Preta,26-35,Gestor,Financeiro,S-003
EMP-00099,2023-11-20,Feminino,Indígena,26-35,Especialista,RH,S-003
EMP-00100,2024-03-07,Feminino,Amarela,36-45,Gestor,Operações,S-001
EMP-00101,2024-04-22,Feminino,Indígena,18-25,Gestor,Financeiro,S-003
EMP-00102,2023-11-09,Masculino,Branca,46-60,Analista,Financeiro,S-005
EMP-00103,2024-02-01,Masculino,Indígena,18-25,Analista,Operações,S-003
EMP-00104,2023-09-20,Masculino,Parda,18-25,Gestor,Sustentabilidade,S-002
EMP-00105,2023-06-14,Masculino,Amarela,46-60,Gestor,Financeiro,S-001
EMP-00106,2023-04-02,Masculino,Indígena,46-60,Gestor,RH,S-002
EMP-00107,2024-11-23,Masculino,Amarela,18-25,Analista,Sustentabilidade,S-003
EMP-00108,2024-12-04,Masculino,Amarela,18-25,Especialista,Engenharia,S-005
EMP-00109,2023-10-17,Masculino,Amarela,46-60,Gestor,RH,S-001
EMP-00110,2024-10-21,Feminino,Indígena,36-45,Analista,RH,S-004
EMP-00111,2023-03-14,Feminino,Indígena,26-35,Analista,RH,S-005
EMP-00112,2023-12-06,Masculino,Amarela,18-25,Analista,Engenharia,S-001
EMP-00113,2023-06-05,Feminino,Amarela,36-45,Analista,Sustentabilidade,S-005
EMP-00114,2024-03-28,Feminino,Branca,36-45,Gestor,RH,S-001
EMP-00115,2024-04-01,Masculino,Parda,46-60,Especialista,Operações,S-001
EMP-00116,2023-01-28,Masculino,Parda,46-60,Gestor,Engenharia,S-002
EMP-00117,2023-09-28,Masculino,Indígena,36-45,Analista,Operações,S-001
EMP-00118,2023-12-27,Masculino,Preta,26-35,Analista,Financeiro,S-001
EMP-00119,2023-06-10,Feminino,Preta,36-45,Analista,RH,S-005
EMP-00120,2024-10-17,Masculino,Parda,36-45,Gestor,Financeiro,S-003
EMP-00121,2024-12-31,Masculino,Preta,36-45,Analista,Financeiro,S-003
EMP-00122,2024-01-08,Masculino,Amarela,36-45,Gestor,Financeiro,S-001
EMP-00123,2023-01-14,Masculino,Branca,46-60,Gestor,Engenharia,S-005
EMP-00124,2024-07-03,Masculino,Parda,26-35,Gestor,RH,S-005
EMP-00125,2023-12-23,Feminino,Preta,18-25,Gestor,Financeiro,S-003
EMP-00126,2023-04-27,Masculino,Indígena,26-35,Especialista,Financeiro,S-001
EMP-00127,2024-05-23,Feminino,Indígena,26-35,Analista,Engenharia,S-002
EMP-00128,2023-05-01,Feminino,Amarela,36-45,Especialista,Engenharia,S-005
EMP-00129,2023-12-04,Feminino,Preta,18-25,Gestor,Sustentabilidade,S-002
EMP-00130,2023-10-19,Feminino,Parda,46-60,Especialista,Engenharia,S-001
EMP-00131,2024-11-30,Feminino,Amarela,26-35,Gestor,Engenharia,S-001
EMP-00132,2024-05-16,Masculino,Preta,36-45,Especialista,Financeiro,S-001
EMP-00133,2024-12-06,Masculino,Parda,36-45,Especialista,RH,S-004
EMP-00134,2024-07-28,Feminino,Preta,26-35,Gestor,Sustentabilidade,S-001
EMP-00135,2024-04-04,Masculino,Amarela,18-25,Analista,Sustentabilidade,S-002
EMP-00136,2023-02-15,Masculino,Indígena,18-25,Gestor,Sustentabilidade,S-004
EMP-00137,2024-08-07,Masculino,Preta,36-45,Analista,Operações,S-005
EMP-00138,2024-05-18,Masculino,Preta,18-25,Especialista,Operações,S-003
EMP-00139,2023-10-26,Masculino,Preta,18-25,Especialista,RH,S-004
EMP-00140,2023-04-11,Masculino,Amarela,36-45,Especialista,Operações,S-001
EMP-00141,2023-10-30,Masculino,Branca,18-25,Especialista,Sustentabilidade,S-002
EMP-00142,2023-11-21,Feminino,Preta,36-45,Analista,RH,S-005
EMP-00143,2024-10-07,Feminino,Parda,26-35,Especialista,Engenharia,S-003
EMP-00144,2023-05-26,Masculino,Parda,46-60,Gestor,RH,S-001
EMP-00145,2023-03-27,Feminino,Preta,18-25,Especialista,Sustentabilidade,S-001
EMP-00146,2023-03-10,Masculino,Branca,36-45,Especialista,Financeiro,S-005
EMP-00147,2024-03-14,Feminino,Preta,36-45,Analista,Engenharia,S-001
EMP-00148,2024-12-01,Feminino,Indígena,46-60,Analista,Engenharia,S-004
EMP-00149,2023-01-28,Feminino,Amarela,18-25,Especialista,Operações,S-001
EMP-00150,2023-12-08,Masculino,Parda,36-45,Analista,Financeiro,S-002
EMP-00151,2023-05-05,Masculino,Parda,46-60,Analista,Engenharia,S-002
EMP-00152,2024-05-15,Masculino,Parda,26-35,Gestor,Sustentabilidade,S-001
EMP-00153,2024-11-03,Masculino,Parda,18-25,Gestor,Operações,S-001
EMP-00154,2024-09-21,Feminino,Parda,18-25,Analista,Financeiro,S-003
EMP-00155,2024-08-31,Feminino,Parda,26-35,Especialista,Operações,S-004
EMP-00156,2023-08-20,Masculino,Indígena,18-25,Especialista,Engenharia,S-001
EMP-00157,2023-08-27,Feminino,Branca,18-25,Gestor,Sustentabilidade,S-001
EMP-00158,2023-10-06,Feminino,Indígena,46-60,Analista,Engenharia,S-005
EMP-00159,2024-01-17,Feminino,Parda,18-25,Gestor,RH,S-001
EMP-00160,2023-07-02,Masculino,Indígena,36-45,Especialista,Sustentabilidade,S-001
EMP-00161,2023-05-03,Masculino,Amarela,36-45,Especialista,Engenharia,S-004
EMP-00162,2024-06-21,Masculino,Branca,46-60,Analista,Engenharia,S-004
EMP-00163,2023-03-03,Masculino,Branca,26-35,Analista,Financeiro,S-001
EMP-00164,2024-01-13,Feminino,Amarela,36-45,Especialista,Engenharia,S-002
EMP-00165,2024-10-12,Feminino,Parda,46-60,Gestor,RH,S-005
EMP-00166,2023-01-23,Feminino,Amarela,18-25,Analista,Sustentabilidade,S-004
EMP-00167,2024-08-15,Feminino,Branca,46-60,Analista,RH,S-001
EMP-00168,2023-10-08,Masculino,Indígena,36-45,Gestor,Engenharia,S-002
EMP-00169,2024-07-20,Feminino,Amarela,26-35,Especialista,Engenharia,S-005
EMP-00170,2023-04-16,Feminino,Preta,36-45,Gestor,Sustentabilidade,S-004
EMP-00171,2023-09-05,Feminino,Indígena,26-35,Analista,Operações,S-001
EMP-00172,2024-06-01,Feminino,Indígena,26-35,Gestor,RH,S-005
EMP-00173,2024-08-14,Masculino,Parda,36-45,Especialista,Operações,S-002
EMP-00174,2024-04-07,Feminino,Preta,18-25,Analista,Operações,S-004
EMP-00175,2023-08-06,Feminino,Branca,36-45,Analista,RH,S-004
EMP-00176,2024-03-10,Feminino,Preta,26-35,Gestor,RH,S-005
EMP-00177,2024-03-11,Masculino,Amarela,26-35,Gestor,Financeiro,S-003
EMP-00178,2023-01-29,Feminino,Preta,26-35,Analista,Engenharia,S-001
EMP-00179,2023-05-20,Feminino,Branca,46-60,Especialista,Operações,S-003
EMP-00180,2023-06-06,Masculino,Branca,36-45,Especialista,Sustentabilidade,S-005
EMP-00181,2023-03-17,Masculino,Preta,46-60,Gestor,Operações,S-005
EMP-00182,2024-10-29,Masculino,Preta,26-35,Especialista,RH,S-004
EMP-00183,2024-12-21,Masculino,Parda,26-35,Gestor,Operações,S-002
EMP-00184,2023-08-15,Masculino,Branca,36-45,Especialista,Operações,S-001
EMP-00185,2024-07-19,Feminino,Preta,36-45,Especialista,Operações,S-004
EMP-00186,2023-09-01,Feminino,Preta,18-25,Especialista,Sustentabilidade,S-004
EMP-00187,2024-07-14,Feminino,Indígena,18-25,Gestor,RH,S-003
EMP-00188,2023-11-29,Masculino,Parda,36-45,Especialista,Financeiro,S-002
EMP-00189,2023-12-09,Feminino,Indígena,18-25,Especialista,Operações,S-001
EMP-00190,2023-01-18,Feminino,Parda,46-60,Gestor,RH,S-004
EMP-00191,2023-09-21,Masculino,Amarela,26-35,Analista,Financeiro,S-002
EMP-00192,2024-09-02,Masculino,Amarela,18-25,Especialista,Operações,S-001
EMP-00193,2024-06-02,Masculino,Preta,18-25,Gestor,RH,S-003
EMP-00194,2023-06-01,Masculino,Indígena,26-35,Gestor,Financeiro,S-003
EMP-00195,2024-12-06,Masculino,Preta,26-35,Especialista,Financeiro,S-004
EMP-00196,2023-11-07,Feminino,Branca,46-60,Especialista,Operações,S-003
EMP-00197,2023-05-01,Masculino,Parda,18-25,Gestor,Engenharia,S-002
EMP-00198,2023-10-02,Masculino,Preta,26-35,Gestor,Engenharia,S-002
EMP-00199,2024-03-03,Masculino,Branca,18-25,Analista,Engenharia,S-003
EMP-00200,2023-01-24,Feminino,Branca,26-35,Analista,Sustentabilidade,S-002
EMP-00201,2023-07-17,Masculino,Branca,46-60,Analista,Engenharia,S-004
EMP-00202,2023-06-30,Masculino,Preta,26-35,Analista,Financeiro,S-001
EMP-00203,2023-10-13,Feminino,Indígena,18-25,Gestor,RH,S-004
EMP-00204,2023-09-29,Masculino,Preta,36-45,Gestor,Engenharia,S-004
EMP-00205,2024-01-30,Feminino,Branca,18-25,Gestor,Operações,S-002
EMP-00206,2023-12-18,Feminino,Indígena,18-25,Especialista,Operações,S-005
EMP-00207,2024-09-06,Masculino,Branca,26-35,Analista,RH,S-005
EMP-00208,2024-07-07,Feminino,Indígena,36-45,Especialista,Financeiro,S-005
EMP-00209,2024-12-12,Masculino,Amarela,18-25,Especialista,RH,S-005
EMP-00210,2024-07-31,Masculino,Branca,36-45,Gestor,Financeiro,S-002
EMP-00211,2024-10-18,Feminino,Amarela,18-25,Especialista,Sustentabilidade,S-004
EMP-00212,2023-12-05,Masculino,Preta,26-35,Especialista,RH,S-001
EMP-00213,2024-11-28,Masculino,Parda,26-35,Gestor,Financeiro,S-002
EMP-00214,2023-11-19,Masculino,Amarela,26-35,Gestor,RH,S-002
EMP-00215,2024-11-03,Masculino,Branca,26-35,Especialista,Engenharia,S-003
EMP-00216,2023-10-31,Feminino,Indígena,46-60,Especialista,Engenharia,S-005
EMP-00217,2024-10-12,Masculino,Preta,36-45,Especialista,Financeiro,S-002
EMP-00218,2024-05-07,Masculino,Parda,36-45,Especialista,RH,S-005
EMP-00219,2023-12-06,Feminino,Parda,36-45,Especialista,Sustentabilidade,S-003
EMP-00220,2023-01-01,Masculino,Indígena,36-45,Analista,RH,S-001
EMP-00221,2023-07-14,Feminino,Preta,36-45,Gestor,RH,S-003
EMP-00222,2024-03-26,Feminino,Indígena,36-45,Gestor,RH,S-001
EMP-00223,2024-08-03,Masculino,Preta,26-35,Gestor,Operações,S-002
EMP-00224,2023-05-05,Masculino,Preta,36-45,Especialista,Financeiro,S-002
EMP-00225,2024-12-31,Masculino,Amarela,46-60,Gestor,Financeiro,S-005
EMP-00226,2023-04-06,Masculino,Preta,18-25,Analista,Engenharia,S-003
EMP-00227,2023-10-09,Masculino,Indígena,36-45,Analista,Engenharia,S-001
EMP-00228,2024-12-13,Feminino,Amarela,18-25,Especialista,Financeiro,S-004
EMP-00229,2023-06-14,Feminino,Indígena,18-25,Gestor,Operações,S-002
EMP-00230,2023-04-29,Masculino,Preta,26-35,Especialista,RH,S-003
EMP-00231,2023-08-09,Masculino,Preta,36-45,Gestor,Operações,S-002
EMP-00232,2024-01-31,Masculino,Branca,36-45,Gestor,Financeiro,S-003
EMP-00233,2023-07-15,Masculino,Amarela,36-45,Analista,RH,S-003
EMP-00234,2023-12-24,Feminino,Preta,46-60,Gestor,RH,S-005
EMP-00235,2023-05-22,Feminino,Amarela,26-35,Especialista,Engenharia,S-003
EMP-00236,2024-12-14,Masculino,Amarela,36-45,Gestor,Operações,S-002
EMP-00237,2023-07-04,Feminino,Amarela,18-25,Analista,RH,S-004
EMP-00238,2023-06-07,Feminino,Preta,18-25,Especialista,Engenharia,S-002
EMP-00239,2024-04-22,Masculino,Branca,18-25,Especialista,Engenharia,S-001
EMP-00240,2023-12-31,Masculino,Preta,26-35,Analista,Engenharia,S-005
EMP-00241,2023-11-10,Masculino,Branca,46-60,Analista,Engenharia,S-001
EMP-00242,2023-06-14,Masculino,Parda,26-35,Analista,Operações,S-003
EMP-00243,2023-05-13,Feminino,Indígena,36-45,Gestor,RH,S-004
EMP-00244,2024-05-21,Masculino,Preta,46-60,Gestor,Financeiro,S-002
EMP-00245,2024-05-20,Masculino,Parda,26-35,Analista,Operações,S-005
EMP-00246,2024-12-20,Masculino,Preta,46-60,Analista,Operações,S-001
EMP-00247,2024-11-19,Masculino,Preta,36-45,Gestor,RH,S-004
EMP-00248,2023-01-12,Masculino,Preta,46-60,Analista,Engenharia,S-003
EMP-00249,2024-04-08,Feminino,Branca,36-45,Especialista,RH,S-005
EMP-00250,2024-02-19,Masculino,Preta,18-25,Analista,Financeiro,S-004
EMP-00251,2023-06-29,Feminino,Indígena,36-45,Analista,Sustentabilidade,S-002
EMP-00252,2023-09-07,Masculino,Parda,26-35,Analista,Engenharia,S-005
EMP-00253,2024-07-26,Feminino,Indígena,46-60,Especialista,Sustentabilidade,S-002
EMP-00254,2024-07-16,Feminino,Amarela,26-35,Analista,Engenharia,S-003
EMP-00255,2024-08-13,Feminino,Indígena,36-45,Gestor,Sustentabilidade,S-001
EMP-00256,2023-03-01,Feminino,Preta,26-35,Gestor,Operações,S-002
EMP-00257,2024-08-28,Masculino,Preta,26-35,Gestor,Financeiro,S-003
EMP-00258,2023-03-26,Masculino,Amarela,36-45,Gestor,RH,S-002
EMP-00259,2023-06-27,Masculino,Branca,46-60,Especialista,RH,S-003
EMP-00260,2024-12-31,Feminino,Indígena,46-60,Analista,RH,S-004
EMP-00261,2024-01-05,Feminino,Branca,18-25,Especialista,Engenharia,S-002
EMP-00262,2023-07-05,Feminino,Branca,36-45,Analista,RH,S-003
EMP-00263,2023-12-22,Feminino,Indígena,46-60,Especialista,Engenharia,S-004
EMP-00264,2023-02-16,Masculino,Preta,46-60,Analista,Financeiro,S-004
EMP-00265,2024-03-19,Masculino,Indígena,26-35,Especialista,Operações,S-004
EMP-00266,2024-04-08,Masculino,Preta,18-25,Especialista,Engenharia,S-003
EMP-00267,2023-02-16,Feminino,Parda,36-45,Especialista,Operações,S-005
EMP-00268,2024-08-30,Feminino,Preta,46-60,Gestor,Operações,S-002
EMP-00269,2023-07-16,Masculino,Branca,26-35,Gestor,RH,S-001
EMP-00270,2024-01-25,Feminino,Parda,26-35,Gestor,Sustentabilidade,S-003
EMP-00271,2024-11-20,Feminino,Amarela,46-60,Analista,Engenharia,S-004
EMP-00272,2023-06-25,Feminino,Indígena,18-25,Especialista,Operações,S-001
EMP-00273,2023-09-21,Masculino,Indígena,46-60,Gestor,Sustentabilidade,S-004
EMP-00274,2024-12-11,Masculino,Parda,26-35,Especialista,Engenharia,S-004
EMP-00275,2023-08-23,Masculino,Preta,46-60,Gestor,Engenharia,S-001
EMP-00276,2024-02-22,Feminino,Amarela,18-25,Analista,Financeiro,S-001
EMP-00277,2024-09-02,Feminino,Parda,36-45,Gestor,Engenharia,S-001
EMP-00278,2024-06-01,Feminino,Preta,26-35,Analista,Engenharia,S-003
EMP-00279,2023-05-01,Masculino,Indígena,26-35,Gestor,Financeiro,S-001
EMP-00280,2023-02-05,Masculino,Branca,18-25,Gestor,Financeiro,S-001
EMP-00281,2024-04-23,Masculino,Preta,36-45,Especialista,Operações,S-002
EMP-00282,2024-09-03,Feminino,Indígena,18-25,Gestor,Operações,S-005
EMP-00283,2023-11-29,Feminino,Preta,18-25,Analista,Financeiro,S-003
EMP-00284,2024-06-24,Feminino,Amarela,36-45,Especialista,Financeiro,S-005
EMP-00285,2023-02-22,Feminino,Indígena,46-60,Especialista,Operações,S-004
EMP-00286,2024-03-13,Feminino,Amarela,26-35,Analista,Engenharia,S-005
EMP-00287,2023-08-26,Feminino,Preta,46-60,Especialista,Sustentabilidade,S-004
EMP-00288,2024-06-03,Masculino,Parda,36-45,Especialista,Financeiro,S-002
EMP-00289,2024-09-26,Feminino,Preta,26-35,Especialista,Sustentabilidade,S-005
EMP-00290,2023-05-06,Feminino,Indígena,36-45,Gestor,Operações,S-004
EMP-00291,2023-12-26,Masculino,Parda,18-25,Analista,Engenharia,S-001
EMP-00292,2024-06-09,Masculino,Parda,36-45,Gestor,Operações,S-001
EMP-00293,2024-11-27,Feminino,Indígena,46-60,Analista,Engenharia,S-005
EMP-00294,2024-05-07,Masculino,Preta,46-60,Analista,Sustentabilidade,S-002
EMP-00295,2023-09-18,Masculino,Branca,36-45,Especialista,Engenharia,S-001
EMP-00296,2024-06-02,Feminino,Preta,26-35,Especialista,Financeiro,S-003
EMP-00297,2024-08-03,Feminino,Branca,26-35,Especialista,Engenharia,S-001
EMP-00298,2024-12-23,Masculino,Branca,46-60,Gestor,Sustentabilidade,S-002
EMP-00299,2024-10-16,Feminino,Preta,36-45,Analista,Financeiro,S-003
EMP-00300,2023-12-08,Feminino,Parda,46-60,Gestor,Engenharia,S-001
EMP-00301,2023-01-16,Masculino,Branca,46-60,Especialista,Operações,S-001
EMP-00302,2024-03-25,Masculino,Parda,46-60,Gestor,Operações,S-003
EMP-00303,2023-09-01,Feminino,Parda,26-35,Analista,Engenharia,S-005
EMP-00304,2023-11-16,Feminino,Parda,18-25,Gestor,Sustentabilidade,S-002
EMP-00305,2024-06-19,Feminino,Preta,36-45,Especialista,Engenharia,S-002
EMP-00306,2023-04-25,Feminino,Preta,46-60,Analista,Sustentabilidade,S-005
EMP-00307,2023-07-24,Feminino,Branca,46-60,Especialista,Financeiro,S-001
EMP-00308,2024-03-29,Masculino,Amarela,46-60,Gestor,Financeiro,S-004
EMP-00309,2023-08-08,Masculino,Indígena,46-60,Gestor,Sustentabilidade,S-004
EMP-00310,2023-10-08,Masculino,Branca,26-35,Gestor,Sustentabilidade,S-003
EMP-00311,2023-08-07,Feminino,Indígena,26-35,Analista,RH,S-005
EMP-00312,2023-09-23,Feminino,Branca,18-25,Especialista,Operações,S-001
EMP-00313,2024-11-24,Feminino,Branca,46-60,Especialista,Engenharia,S-005
EMP-00314,2024-05-31,Masculino,Preta,46-60,Gestor,Financeiro,S-003
EMP-00315,2024-03-12,Masculino,Indígena,36-45,Gestor,Engenharia,S-004
EMP-00316,2023-07-12,Feminino,Indígena,36-45,Gestor,RH,S-002
EMP-00317,2023-12-07,Feminino,Preta,26-35,Gestor,Financeiro,S-004
EMP-00318,2024-03-14,Masculino,Amarela,46-60,Analista,Engenharia,S-002
EMP-00319,2024-09-05,Masculino,Amarela,46-60,Gestor,Sustentabilidade,S-001
EMP-00320,2024-11-12,Masculino,Amarela,26-35,Gestor,Financeiro,S-003
EMP-00321,2024-08-13,Feminino,Indígena,36-45,Especialista,Sustentabilidade,S-002
EMP-00322,2024-10-22,Feminino,Parda,18-25,Especialista,Engenharia,S-002
EMP-00323,2023-11-26,Masculino,Parda,18-25,Gestor,Operações,S-003
EMP-00324,2023-03-06,Feminino,Preta,18-25,Analista,Sustentabilidade,S-001
EMP-00325,2023-07-16,Feminino,Branca,46-60,Especialista,Sustentabilidade,S-001
EMP-00326,2024-08-04,Feminino,Preta,46-60,Gestor,Sustentabilidade,S-004
EMP-00327,2024-07-21,Feminino,Parda,26-35,Gestor,RH,S-004
EMP-00328,2023-03-02,Feminino,Branca,36-45,Analista,RH,S-001
EMP-00329,2023-08-26,Feminino,Preta,26-35,Analista,RH,S-001
EMP-00330,2023-06-19,Masculino,Parda,18-25,Analista,Financeiro,S-001
EMP-00331,2023-12-15,Masculino,Indígena,36-45,Especialista,Sustentabilidade,S-002
EMP-00332,2023-02-17,Feminino,Branca,46-60,Especialista,Engenharia,S-003
EMP-00333,2024-07-22,Masculino,Preta,26-35,Analista,Engenharia,S-005
EMP-00334,2024-01-02,Masculino,Parda,18-25,Especialista,Sustentabilidade,S-004
